[Header]\r\n2013-09-17 08:17:28,592 [10] INFO  ThemeSim.ThemeSim TestForm loading...
2013-09-17 08:17:28,770 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.TextSetting -> ThemeSim.ThemeElements.TextControl.
2013-09-17 08:17:28,770 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.TextSetting -> ThemeSim.ThemeElements.TextControl.
2013-09-17 08:17:28,770 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageSetting -> ThemeSim.ThemeElements.ImageControl.
2013-09-17 08:17:28,770 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageSetting -> ThemeSim.ThemeElements.ImageControl.
2013-09-17 08:17:28,771 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ScreenSetting -> ThemeSim.ThemeElements.ScreenControl.
2013-09-17 08:17:28,771 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ScreenSetting -> ThemeSim.ThemeElements.ScreenControl.
2013-09-17 08:17:28,771 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageContainerResourcesSetting -> ThemeSim.ThemeElements.ImageContainerResources.
2013-09-17 08:17:28,771 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageContainerResourcesSetting -> ThemeSim.ThemeElements.ImageContainerResources.
2013-09-17 08:17:28,772 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:17:28,773 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:17:28,780 [10] INFO  ThemeSim.ThemeSim Load Resource 'c100dts2a' -> ./c100dts2a
2013-09-17 08:17:28,781 [10] INFO  ThemeSim.ThemeSim Load Resource 'c100dts2b' -> ./c100dts2b
2013-09-17 08:17:28,782 [10] INFO  ThemeSim.ThemeSim Load Resource 'battery' -> ./battery
2013-09-17 08:17:28,788 [10] INFO  ThemeSim.ThemeSim Load Control 'img电池' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:17:28,790 [10] INFO  ThemeSim.ThemeSim Load Control 'img左箭头' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:17:28,792 [10] INFO  ThemeSim.ThemeSim Load Control 'img右箭头' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:17:28,793 [10] INFO  ThemeSim.ThemeSim Load Control 'img大选择框' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:17:28,795 [10] INFO  ThemeSim.ThemeSim Load Control 'img图标' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:17:28,798 [10] INFO  ThemeSim.ThemeSim Load Control 'img图标Bar' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:17:28,806 [10] INFO  ThemeSim.ThemeSim Load Control 'img电量' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:17:28,807 [10] INFO  ThemeSim.ThemeSim Load Screen 'MainScreen' -> ThemeSim.ThemeSettings.ScreenSetting
2013-09-17 08:17:28,808 [10] INFO  ThemeSim.ThemeSim Load Screen 'BetteryScreen' -> ThemeSim.ThemeSettings.ScreenSetting
[Header]\r\n2013-09-17 08:18:27,110 [9] INFO  ThemeSim.ThemeSim TestForm loading...
2013-09-17 08:18:27,399 [9] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.TextSetting -> ThemeSim.ThemeElements.TextControl.
2013-09-17 08:18:27,400 [9] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.TextSetting -> ThemeSim.ThemeElements.TextControl.
2013-09-17 08:18:27,400 [9] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageSetting -> ThemeSim.ThemeElements.ImageControl.
2013-09-17 08:18:27,400 [9] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageSetting -> ThemeSim.ThemeElements.ImageControl.
2013-09-17 08:18:27,400 [9] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ScreenSetting -> ThemeSim.ThemeElements.ScreenControl.
2013-09-17 08:18:27,401 [9] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ScreenSetting -> ThemeSim.ThemeElements.ScreenControl.
2013-09-17 08:18:27,401 [9] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageContainerResourcesSetting -> ThemeSim.ThemeElements.ImageContainerResources.
2013-09-17 08:18:27,401 [9] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageContainerResourcesSetting -> ThemeSim.ThemeElements.ImageContainerResources.
2013-09-17 08:18:27,402 [9] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:18:27,402 [9] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:18:27,410 [9] INFO  ThemeSim.ThemeSim Load Resource 'c100dts2a' -> ./c100dts2a
2013-09-17 08:18:27,411 [9] INFO  ThemeSim.ThemeSim Load Resource 'c100dts2b' -> ./c100dts2b
2013-09-17 08:18:27,412 [9] INFO  ThemeSim.ThemeSim Load Resource 'battery' -> ./battery
2013-09-17 08:18:27,418 [9] INFO  ThemeSim.ThemeSim Load Control 'img电池' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:18:27,420 [9] INFO  ThemeSim.ThemeSim Load Control 'img左箭头' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:18:27,422 [9] INFO  ThemeSim.ThemeSim Load Control 'img右箭头' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:18:27,423 [9] INFO  ThemeSim.ThemeSim Load Control 'img大选择框' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:18:27,426 [9] INFO  ThemeSim.ThemeSim Load Control 'img图标' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:18:27,428 [9] INFO  ThemeSim.ThemeSim Load Control 'img图标Bar' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:18:27,435 [9] INFO  ThemeSim.ThemeSim Load Control 'img电量' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:18:27,437 [9] INFO  ThemeSim.ThemeSim Load Screen 'MainScreen' -> ThemeSim.ThemeSettings.ScreenSetting
2013-09-17 08:18:27,437 [9] INFO  ThemeSim.ThemeSim Load Screen 'BetteryScreen' -> ThemeSim.ThemeSettings.ScreenSetting
[Header]\r\n2013-09-17 08:18:48,462 [10] INFO  ThemeSim.ThemeSim TestForm loading...
2013-09-17 08:18:48,723 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.TextSetting -> ThemeSim.ThemeElements.TextControl.
2013-09-17 08:18:48,723 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.TextSetting -> ThemeSim.ThemeElements.TextControl.
2013-09-17 08:18:48,724 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageSetting -> ThemeSim.ThemeElements.ImageControl.
2013-09-17 08:18:48,724 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageSetting -> ThemeSim.ThemeElements.ImageControl.
2013-09-17 08:18:48,724 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ScreenSetting -> ThemeSim.ThemeElements.ScreenControl.
2013-09-17 08:18:48,724 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ScreenSetting -> ThemeSim.ThemeElements.ScreenControl.
2013-09-17 08:18:48,725 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageContainerResourcesSetting -> ThemeSim.ThemeElements.ImageContainerResources.
2013-09-17 08:18:48,725 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageContainerResourcesSetting -> ThemeSim.ThemeElements.ImageContainerResources.
2013-09-17 08:18:48,726 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:18:48,726 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:18:48,734 [10] INFO  ThemeSim.ThemeSim Load Resource 'c100dts2a' -> ./c100dts2a
2013-09-17 08:18:48,734 [10] INFO  ThemeSim.ThemeSim Load Resource 'c100dts2b' -> ./c100dts2b
2013-09-17 08:18:48,735 [10] INFO  ThemeSim.ThemeSim Load Resource 'battery' -> ./battery
2013-09-17 08:18:48,742 [10] INFO  ThemeSim.ThemeSim Load Control 'img电池' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:18:48,744 [10] INFO  ThemeSim.ThemeSim Load Control 'img左箭头' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:18:48,746 [10] INFO  ThemeSim.ThemeSim Load Control 'img右箭头' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:18:48,747 [10] INFO  ThemeSim.ThemeSim Load Control 'img大选择框' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:18:48,750 [10] INFO  ThemeSim.ThemeSim Load Control 'img图标' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:18:48,754 [10] INFO  ThemeSim.ThemeSim Load Control 'img图标Bar' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:18:48,761 [10] INFO  ThemeSim.ThemeSim Load Control 'img电量' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:18:48,763 [10] INFO  ThemeSim.ThemeSim Load Screen 'MainScreen' -> ThemeSim.ThemeSettings.ScreenSetting
2013-09-17 08:18:48,763 [10] INFO  ThemeSim.ThemeSim Load Screen 'BetteryScreen' -> ThemeSim.ThemeSettings.ScreenSetting
[Header]\r\n2013-09-17 08:19:10,904 [10] INFO  ThemeSim.ThemeSim TestForm loading...
2013-09-17 08:19:11,123 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.TextSetting -> ThemeSim.ThemeElements.TextControl.
2013-09-17 08:19:11,124 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.TextSetting -> ThemeSim.ThemeElements.TextControl.
2013-09-17 08:19:11,124 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageSetting -> ThemeSim.ThemeElements.ImageControl.
2013-09-17 08:19:11,124 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageSetting -> ThemeSim.ThemeElements.ImageControl.
2013-09-17 08:19:11,124 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ScreenSetting -> ThemeSim.ThemeElements.ScreenControl.
2013-09-17 08:19:11,124 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ScreenSetting -> ThemeSim.ThemeElements.ScreenControl.
2013-09-17 08:19:11,125 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageContainerResourcesSetting -> ThemeSim.ThemeElements.ImageContainerResources.
2013-09-17 08:19:11,125 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageContainerResourcesSetting -> ThemeSim.ThemeElements.ImageContainerResources.
2013-09-17 08:19:11,126 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:19:11,126 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:19:11,134 [10] INFO  ThemeSim.ThemeSim Load Resource 'c100dts2a' -> ./c100dts2a
2013-09-17 08:19:11,134 [10] INFO  ThemeSim.ThemeSim Load Resource 'c100dts2b' -> ./c100dts2b
2013-09-17 08:19:11,135 [10] INFO  ThemeSim.ThemeSim Load Resource 'battery' -> ./battery
